"logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q8VCM7",3.60046085340833,6.19781254064417,6.14303389973272,5.21333976019171e-05,6.60356369624283e-05,1.70624454155605
"A0A494BA97",1.3121730415854,6.26193151440568,6.10678804910529,5.50582481741395e-05,6.85971616595837e-05,1.6491612257526
"Q9DB60",2.86500723909584,5.67495829189278,4.97050092809147,0.000334547361804876,0.000410090314470493,-0.232171513717788
"P31725",2.87956158623042,6.32823686375867,4.94537579778223,0.000348876723482872,0.000420867158487274,-0.275723531597508
"Q9EQI5",3.04062563163612,6.29717725807707,4.84366209990815,0.000413802823724858,0.000488500110300523,-0.452844209353652
"P97927",1.49388590477006,6.82542656042708,4.83796334912119,0.000417796146967553,0.000488500110300523,-0.462805801124141
"O70200",2.08093615900254,5.7244430783038,4.57293298097887,0.000656197555397782,0.000755621427427749,-0.930376396433713
"O54824",2.13825245952178,6.35501698950174,4.51822449043803,0.000721121716048061,0.000817988812233621,-1.02789948914931
"Q9Z126",2.07763412659734,6.64148021804495,4.41759320408626,0.000858639205153474,0.000959655582230353,-1.20812982006216
"Q61292",3.89792076001304,5.88197281203491,4.3311853337985,0.000998477847478727,0.00109977270157077,-1.3637234071478
"P35441",1.9751094419993,6.73042082728826,3.62108904971528,0.00356053135340181,0.00386571975512197,-2.66537004476555
"P01029",1.92046257592627,6.84623611592639,3.49527123229478,0.00448174054438838,0.00479735607568333,-2.89869357762869
"F6SG79",0.341331299172571,7.87802478166717,3.45735699248453,0.00480453890599517,0.00507145773410602,-2.96905149725408
"P14069",1.82887734069947,6.50448940156427,3.18605247141303,0.00792022503234964,0.00824571373230921,-3.47219487268948
"E9QN70",0.61116932075683,7.04702577493876,2.69905539055488,0.0194860887903785,0.0200127398387671,-4.36449326363206
"P01887",0.873190093258133,5.95027082412171,2.44627646097952,0.0309786912726554,0.0313917404896241,-4.81470601899696
"D3Z3S1",0.752319826669656,6.26655978423866,2.34647933413341,0.0371378934656227,0.0371378934656227,-4.98860726095465
