"logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A0A1L1SSH9",10.8392037880969,4.08035786617278,78.3301381225219,4.77697751544502e-24,3.17387521581244e-22,39.2386709777445
"Q61263",11.1022148188575,3.76399350473927,78.1708441940991,4.95273115601422e-24,3.17387521581244e-22,39.2230549626317
"E9Q6A6",10.7772553151919,4.0598422249358,74.6889514735665,1.11177961497247e-23,6.83966819131065e-22,38.863725146747
"A0A3B2W812",10.7340063513161,3.86994715237646,74.1646871667781,1.25979543480896e-23,7.45217453360072e-22,38.8064915020185
"Q60753",10.5147140541385,3.98190818439798,73.4145516034988,1.5088099286431e-23,8.59462840834477e-22,38.7230932597625
"Q99JY8",10.3297963382207,3.92484372475024,72.4898655351512,1.88929057048421e-23,1.03776032050168e-21,38.6177835888035
"B1ASP2",8.07146236255663,3.20923928601206,71.4204689736916,2.45924978874867e-23,1.30425040520533e-21,38.4924278769072
"B2RX12",11.0338215559217,4.0677580999712,69.2153215139347,4.28934408023842e-23,2.19900373180223e-21,38.2212330183695
"P31938",10.6624929182441,3.68693180864026,60.6254518412336,4.49247707935783e-22,2.22884830582333e-20,36.9751729210195
"Q9CR41",12.6892399949843,4.27228783757164,56.4576341311466,1.58601225676099e-21,7.62277140905751e-20,36.2387941945595
"A0A2I3BQ16",9.82113975155906,3.73290058868029,56.2237075590727,1.70698424581803e-21,7.95558112141857e-20,36.1944503032219
"P21614",12.6235364807001,4.1033978223166,55.1834992786587,2.37570335549357e-21,1.07465640022033e-19,35.9930938099448
"A0A0J9YU82",13.0120398849573,1.01541853343173,54.211970190603,3.25322577488742e-21,1.42956035479339e-19,35.7986880710699
"Q8VBT6",11.4141566792741,4.12251002043873,53.8250425343515,3.69284467857774e-21,1.57766530990349e-19,35.7194995017468
"E9PUW7",11.2841173480805,4.10650762281655,52.593176271011,5.56231785178148e-21,2.31212023136214e-19,35.4604510515447
"Q3TKD0",8.91760220718333,3.41706296985434,51.6068281377414,7.77478076077525e-21,3.14674021317693e-19,35.2451401833727
"Q8BVA4",7.28540221886225,2.94175005808644,49.9741924243146,1.37262734773486e-20,5.41307913029798e-19,34.8724611399157
"P55772",11.5821419816588,4.24458375704133,47.9121880288161,2.89045316934172e-20,1.10152843563466e-18,34.3707191187227
"Q8R5A3",11.120712221316,3.86223499492247,47.8693882598915,2.93645421723153e-20,1.10152843563466e-18,34.3599171794462
"Q9JHI9",11.7176023266809,4.30443899124579,47.1351636437548,3.85841950246106e-20,1.41291647494884e-18,34.172052342784
