,celltype1,celltype2,interacting_pair,means
144,ST,ST,COL18A1_integrin_a2b1_complex,19.708
145,ST,ST,COL1A1_integrin_a1b1_complex,0.267
146,ST,ST,COL1A1_integrin_a2b1_complex,0.267
147,ST,ST,COL1A2_integrin_a1b1_complex,2.308
148,ST,ST,COL1A2_integrin_a2b1_complex,2.308
149,ST,ST,COL4A1_integrin_a1b1_complex,6.183
150,ST,ST,COL4A1_integrin_a2b1_complex,6.183
151,ST,ST,COL4A3_integrin_a1b1_complex,2.85
152,ST,ST,COL4A3_integrin_a2b1_complex,2.85
153,ST,ST,COL6A1_integrin_a1b1_complex,0.517
154,ST,ST,COL6A1_integrin_a2b1_complex,0.517
155,ST,ST,COL6A2_integrin_a1b1_complex,1.183
156,ST,ST,COL6A2_integrin_a2b1_complex,1.183
157,ST,ST,COL6A3_integrin_a1b1_complex,9.35
158,ST,ST,COL6A3_integrin_a2b1_complex,9.35
159,ST,ST,COL6A5_integrin_a1b1_complex,0.1
160,ST,ST,COL6A5_integrin_a2b1_complex,0.1
161,ST,ST,COL6A6_integrin_a1b1_complex,0.1
162,ST,ST,COL6A6_integrin_a2b1_complex,0.1
163,ST,ST,COL7A1_integrin_a1b1_complex,0.1
164,ST,ST,COL7A1_integrin_a2b1_complex,0.1
165,ST,ST,FN1_integrin_a2Bb3_complex,4.767
166,ST,ST,FN1_integrin_a2b1_complex,4.767
167,ST,ST,FN1_integrin_a3b1_complex,4.767
168,ST,ST,FN1_integrin_a5b1_complex,4.767
169,ST,ST,FN1_integrin_a8b1_complex,4.767
170,ST,ST,LAMC1_integrin_a2b1_complex,19.442
171,ST,TB,COL12A1_integrin_a1b1_complex,13.15
172,ST,TB,COL12A1_integrin_a2b1_complex,13.15
173,ST,TB,COL14A1_integrin_a1b1_complex,1.858
174,ST,TB,COL14A1_integrin_a2b1_complex,1.858
175,ST,TB,COL15A1_integrin_a1b1_complex,20.6
176,ST,TB,COL15A1_integrin_a2b1_complex,20.6
177,ST,TB,COL18A1_integrin_a1b1_complex,19.708
178,ST,TB,COL18A1_integrin_a2b1_complex,19.708
179,ST,TB,COL1A1_integrin_a1b1_complex,0.267
180,ST,TB,COL1A1_integrin_a2b1_complex,0.267
181,ST,TB,COL1A2_integrin_a1b1_complex,2.308
182,ST,TB,COL1A2_integrin_a2b1_complex,2.308
183,ST,TB,COL4A1_integrin_a1b1_complex,6.183
184,ST,TB,COL4A1_integrin_a2b1_complex,6.183
185,ST,TB,COL4A3_integrin_a1b1_complex,2.85
186,ST,TB,COL4A3_integrin_a2b1_complex,2.85
187,ST,TB,COL6A1_integrin_a1b1_complex,0.517
188,ST,TB,COL6A1_integrin_a2b1_complex,0.517
189,ST,TB,COL6A2_integrin_a1b1_complex,1.183
190,ST,TB,COL6A2_integrin_a2b1_complex,1.183
191,ST,TB,COL6A3_integrin_a1b1_complex,9.35
192,ST,TB,COL6A3_integrin_a2b1_complex,9.35
193,ST,TB,COL6A5_integrin_a1b1_complex,0.1
194,ST,TB,COL6A5_integrin_a2b1_complex,0.1
195,ST,TB,COL6A6_integrin_a1b1_complex,0.1
196,ST,TB,COL6A6_integrin_a2b1_complex,0.1
197,ST,TB,COL7A1_integrin_a1b1_complex,0.1
198,ST,TB,COL7A1_integrin_a2b1_complex,0.1
199,ST,TB,FN1_integrin_a2Bb3_complex,4.767
200,ST,TB,FN1_integrin_a2b1_complex,4.767
201,ST,TB,FN1_integrin_a3b1_complex,4.767
202,ST,TB,FN1_integrin_a5b1_complex,4.767
203,ST,TB,FN1_integrin_a8b1_complex,4.767
204,ST,TB,LAMC1_integrin_a2b1_complex,19.442
205,TB,LSK,COL12A1_integrin_a1b1_complex,139.563
206,TB,LSK,COL12A1_integrin_a2b1_complex,134.333
207,TB,LSK,COL14A1_integrin_a1b1_complex,149.03
208,TB,LSK,COL14A1_integrin_a2b1_complex,143.8
209,TB,LSK,COL15A1_integrin_a1b1_complex,141.097
210,TB,LSK,COL15A1_integrin_a2b1_complex,135.867
211,TB,LSK,COL18A1_integrin_a1b1_complex,124.438
212,TB,LSK,COL18A1_integrin_a2b1_complex,119.208
213,TB,LSK,COL1A1_integrin_a1b1_complex,154.755
214,TB,LSK,COL1A1_integrin_a2b1_complex,149.525
215,TB,LSK,COL1A2_integrin_a1b1_complex,151.18
216,TB,LSK,COL1A2_integrin_a2b1_complex,145.95
217,TB,LSK,COL4A1_integrin_a1b1_complex,146.747
218,TB,LSK,COL4A1_integrin_a2b1_complex,141.517
219,TB,LSK,COL4A3_integrin_a1b1_complex,152.372
220,TB,LSK,COL4A3_integrin_a2b1_complex,147.142
221,TB,LSK,COL6A1_integrin_a1b1_complex,154.547
222,TB,LSK,COL6A1_integrin_a2b1_complex,149.317
223,TB,LSK,COL6A2_integrin_a1b1_complex,152.463
224,TB,LSK,COL6A2_integrin_a2b1_complex,147.233
225,TB,LSK,COL6A3_integrin_a1b1_complex,144.172
226,TB,LSK,COL6A3_integrin_a2b1_complex,138.942
227,TB,LSK,COL6A5_integrin_a1b1_complex,155.272
228,TB,LSK,COL6A5_integrin_a2b1_complex,150.042
229,TB,LSK,COL6A6_integrin_a1b1_complex,140.663
230,TB,LSK,COL6A6_integrin_a2b1_complex,135.433
231,TB,LSK,COL7A1_integrin_a1b1_complex,155.28
232,TB,LSK,COL7A1_integrin_a2b1_complex,150.05
233,TB,LSK,FN1_integrin_a2Bb3_complex,149.017
234,TB,LSK,FN1_integrin_a2b1_complex,142.208
235,TB,LSK,FN1_integrin_a3b1_complex,142.208
236,TB,LSK,FN1_integrin_a5b1_complex,146.783
237,TB,LSK,FN1_integrin_a8b1_complex,151.6
238,TB,LSK,LAMC1_integrin_a2b1_complex,120.1
239,TB,ST,COL12A1_integrin_a1b1_complex,134.333
240,TB,ST,COL12A1_integrin_a2b1_complex,134.333
241,TB,ST,COL14A1_integrin_a1b1_complex,143.8
242,TB,ST,COL14A1_integrin_a2b1_complex,143.8
243,TB,ST,COL15A1_integrin_a1b1_complex,135.867
244,TB,ST,COL15A1_integrin_a2b1_complex,135.867
245,TB,ST,COL18A1_integrin_a1b1_complex,119.208
246,TB,ST,COL18A1_integrin_a2b1_complex,119.208
247,TB,ST,COL1A1_integrin_a1b1_complex,149.525
248,TB,ST,COL1A1_integrin_a2b1_complex,149.525
249,TB,ST,COL1A2_integrin_a1b1_complex,145.95
250,TB,ST,COL1A2_integrin_a2b1_complex,145.95
251,TB,ST,COL4A1_integrin_a1b1_complex,141.517
252,TB,ST,COL4A1_integrin_a2b1_complex,141.517
253,TB,ST,COL4A3_integrin_a1b1_complex,147.142
254,TB,ST,COL4A3_integrin_a2b1_complex,147.142
255,TB,ST,COL6A1_integrin_a1b1_complex,149.317
256,TB,ST,COL6A1_integrin_a2b1_complex,149.317
257,TB,ST,COL6A2_integrin_a1b1_complex,147.233
258,TB,ST,COL6A2_integrin_a2b1_complex,147.233
259,TB,ST,COL6A3_integrin_a1b1_complex,138.942
260,TB,ST,COL6A3_integrin_a2b1_complex,138.942
261,TB,ST,COL6A5_integrin_a1b1_complex,150.042
262,TB,ST,COL6A5_integrin_a2b1_complex,150.042
263,TB,ST,COL6A6_integrin_a1b1_complex,135.433
264,TB,ST,COL6A6_integrin_a2b1_complex,135.433
265,TB,ST,COL7A1_integrin_a1b1_complex,150.05
266,TB,ST,COL7A1_integrin_a2b1_complex,150.05
267,TB,ST,FN1_integrin_a2Bb3_complex,142.208
268,TB,ST,FN1_integrin_a2b1_complex,142.208
269,TB,ST,FN1_integrin_a3b1_complex,142.208
270,TB,ST,FN1_integrin_a5b1_complex,142.208
271,TB,ST,FN1_integrin_a8b1_complex,142.208
272,TB,ST,LAMC1_integrin_a2b1_complex,120.1
273,TB,TB,COL12A1_integrin_a1b1_complex,134.333
274,TB,TB,COL12A1_integrin_a2b1_complex,134.333
275,TB,TB,COL14A1_integrin_a1b1_complex,143.8
276,TB,TB,COL14A1_integrin_a2b1_complex,143.8
277,TB,TB,COL15A1_integrin_a1b1_complex,135.867
278,TB,TB,COL15A1_integrin_a2b1_complex,135.867
279,TB,TB,COL18A1_integrin_a1b1_complex,119.208
280,TB,TB,COL18A1_integrin_a2b1_complex,119.208
281,TB,TB,COL1A1_integrin_a1b1_complex,149.525
282,TB,TB,COL1A1_integrin_a2b1_complex,149.525
283,TB,TB,COL1A2_integrin_a1b1_complex,145.95
284,TB,TB,COL1A2_integrin_a2b1_complex,145.95
285,TB,TB,COL4A1_integrin_a1b1_complex,141.517
286,TB,TB,COL4A1_integrin_a2b1_complex,141.517
287,TB,TB,COL4A3_integrin_a1b1_complex,147.142
288,TB,TB,COL4A3_integrin_a2b1_complex,147.142
289,TB,TB,COL6A1_integrin_a1b1_complex,149.317
290,TB,TB,COL6A1_integrin_a2b1_complex,149.317
291,TB,TB,COL6A2_integrin_a1b1_complex,147.233
292,TB,TB,COL6A2_integrin_a2b1_complex,147.233
293,TB,TB,COL6A3_integrin_a1b1_complex,138.942
294,TB,TB,COL6A3_integrin_a2b1_complex,138.942
295,TB,TB,COL6A5_integrin_a1b1_complex,150.042
296,TB,TB,COL6A5_integrin_a2b1_complex,150.042
297,TB,TB,COL6A6_integrin_a1b1_complex,135.433
298,TB,TB,COL6A6_integrin_a2b1_complex,135.433
299,TB,TB,COL7A1_integrin_a1b1_complex,150.05
300,TB,TB,COL7A1_integrin_a2b1_complex,150.05
301,TB,TB,FN1_integrin_a2Bb3_complex,142.208
302,TB,TB,FN1_integrin_a2b1_complex,142.208
303,TB,TB,FN1_integrin_a3b1_complex,142.208
304,TB,TB,FN1_integrin_a5b1_complex,142.208
305,TB,TB,FN1_integrin_a8b1_complex,142.208
306,TB,TB,LAMC1_integrin_a2b1_complex,120.1
